id,transaction_date,description,amount,reference_number
txn-07584,2024-12-22,EDWARD PEREZ,1678.00,REF0584
txn-02438,2024-12-14,PAYMENT K PHILLIPS,345.00,REF0438
txn-08853,2024-12-17,MISC PAYMENT,1567.00,REF0853
txn-08057,2024-12-17,CARTER GEORGE CHECK,9870.50,REF0057
txn-06927,2024-12-16,DIVIDEND PAYMENT,849.56,EXT0927
txn-01248,2024-12-25,JACKSON WILLIAM ACH,299.00,REF0248
txn-01860,2024-12-10,WIRE RECEIVED,567.00,REF0860
txn-04770,2024-12-22,ACH TRANSFER,2345.00,REF0770
txn-01809,2024-12-18,DEPOSIT,345.50,REF0809
txn-06325,2024-12-11,JACKSON WILLIAM PAYMENT,299.00,REF0325
txn-04688,2024-12-23,ROBINSON THOM,4125.00,REF0688
txn-02669,2024-12-17,CHECK P MARTIN,1100.00,REF0669
txn-01725,2024-12-23,UNKNOWN DEPOSIT,432.75,REF0725
txn-08081,2024-12-13,SMITH JOHN CHECK,450.00,REF0081
txn-07642,2024-12-19,JOHN SMITH,450.00,REF0642
txn-07655,2024-12-25,KEVIN PHILLIPS,345.00,REF0655
txn-04492,2024-12-14,CHECK DEP P MARTIN,1100.00,REF0492
txn-06557,2024-12-21,MICHELLE T,1875.50,REF0557
txn-09609,2024-12-20,SUS LEWIS DEP,923.25,REF0609
txn-07214,2024-12-11,"CARTER, GEORGE CHECK",9870.50,REF0214
txn-01010,2024-12-23,RUTH ELLEN ROBERTS CHECK,892.50,REF0010
txn-08543,2024-12-10,MICHELLE T,1875.50,REF0543
txn-00747,2024-12-23,ACH DEPOSIT,287.00,
txn-07823,2024-12-21,PAYMENT RECEIVED,875.50,REF0823
txn-05921,2024-12-12,LOYALTY BONUS,10.19,EXT0921
txn-02662,2024-12-13,BRIAN T,4560.00,REF0662
txn-03443,2024-12-24,M THOMAS ONLINE,1875.50,REF0443
txn-09243,2024-12-18,"MOORE, LINDA CHECK",675.00,REF0243
txn-02908,2024-12-20,DIVIDEND PAYMENT,628.95,EXT0908
txn-01057,2024-12-17,CARTER GEORGE CHECK,9870.50,REF0057
txn-00482,2024-12-14,CAMPBELL M DEP,2567.75,REF0482
txn-09557,2024-12-21,MICHELLE T,1875.50,REF0557
txn-04444,2024-12-11,JOHN SMITH,450.00,REF0444
txn-04159,2024-12-12,PAYMENT JAMES PATRICK HARRIS,432.75,REF0159
txn-03260,2024-12-25,DEP DONALD RAY WRIGHT,2345.00,REF0260
txn-04210,2024-12-25,ONLINE SANDRA LEE ADAMS,456.75,REF0210
txn-06647,2024-12-19,ROBINSON T CHECK DEP,4125.00,REF0647
txn-01008,2024-12-17,MARTIN PATRICIA ONLINE,1100.00,REF0008
txn-08706,2024-12-11,UNKNOWN DEPOSIT,2345.00,REF0706
txn-02368,2024-12-11,"GARCIA, JENNIFER WIRE",4500.00,REF0368
txn-00809,2024-12-18,DEPOSIT,345.50,REF0809
txn-09031,2024-12-15,"WALKER, NANCY CHECK DEP",287.00,REF0031
txn-01563,2024-12-25,JEN GARCIA PAYMENT,4500.00,REF0563
txn-07629,2024-12-14,RON GREEN WIRE,1234.00,REF0629
txn-02445,2024-12-11,S YOUNG ACH PMT,6750.00,REF0445
txn-04224,2024-12-11,"HARRIS, JAMES CHECK",432.75,REF0224
txn-03383,2024-12-18,ACH PMT CHRISTOPHER JAMES BROWN,567.25,REF0383
txn-02895,2024-12-14,CUSTOMER PAYMENT,1678.00,REF0895
txn-08556,2024-12-16,HALL CHAR,1890.75,REF0556
txn-05663,2024-12-19,CAMPBELL MARI,2567.75,REF0663
txn-04617,2024-12-14,MITCHELL M DEPOSIT,234.25,REF0617
txn-09069,2024-12-16,WILSON AMANDA ACH PMT,3200.00,REF0069
txn-04939,2024-12-22,INTEREST PAYMENT,179.25,EXT0939
txn-07571,2024-12-10,ASHLEY N,567.00,REF0571
txn-03352,2024-12-12,AMANDA LYNN WILSON ONLINE PMT,3200.00,REF0352
txn-06669,2024-12-17,CHECK P MARTIN,1100.00,REF0669
txn-09037,2024-12-16,ADAMS SANDRA ACH PMT,456.75,REF0037
txn-04258,2024-12-23,BETTY JO KING DEPOSIT,198.50,REF0258
txn-08030,2024-12-21,HARRIS JAMES ACH,432.75,REF0030
txn-01133,2024-12-21,"WRIGHT, DONALD DEP",2345.00,REF0133
txn-09940,2024-12-19,ROYALTY PAYMENT,1723.26,EXT0940
txn-01883,2024-12-24,CHECK RECEIVED,1200.00,REF0883
txn-09126,2024-12-13,DEPOSIT BARBARA JEAN LEE,345.50,REF0126
txn-02103,2024-12-22,DAVIS EMILY ACH PMT,2340.00,REF0103
txn-07282,2024-12-18,PAYMENT BARBARA JEAN LEE,345.50,REF0282
txn-08707,2024-12-25,CUSTOMER PAYMENT,567.00,REF0707
txn-05543,2024-12-10,MICHELLE T,1875.50,REF0543
txn-07548,2024-12-18,ELIZABETH WHITE,5600.00,REF0548
txn-03982,2024-12-14,INVESTMENT INCOME,860.94,EXT0982
txn-01066,2024-12-18,JENNIFER ANN GARCIA DEPOSIT,4500.00,REF0066
txn-08466,2024-12-19,MITCHELL M ACH,234.25,REF0466
txn-08828,2024-12-18,WIRE RECEIVED,1200.00,REF0828
txn-03125,2024-12-25,JOHN DAVID SMITH PAYMENT,450.00,REF0125
txn-00188,2024-12-24,ACH PMT JOSEPH MARK CLARK,1567.00,REF0188
txn-04242,2024-12-20,CHECK JOSEPH MARK CLARK,1567.00,REF0242
txn-02728,2024-12-11,CASH DEPOSIT,4125.00,REF0728
txn-03910,2024-12-21,EXTERNAL TRANSFER IN,2223.79,EXT0910
txn-06266,2024-12-17,PAYMENT DOROTHY MAE SCOTT,789.25,REF0266
txn-03731,2024-12-21,DEPOSIT,567.00,
